epoch #     train loss      train R2      test R2
 0   4.61900672240135  -2.626103639602661   -0.014951586723327637
 1   1.2951624263555577  -0.012039661407470703   -0.00859689712524414
 2   1.28930559525123  -0.00859522819519043   -0.002814054489135742
 3   1.2785023122261732  -0.0006886720657348633   -0.039804697036743164
 4   1.2690317500860264  0.0077024102210998535   0.011961936950683594
 5   1.2696263667864678  0.007441580295562744   0.0151137113571167
 6   1.2566135945992591  0.014407873153686523   0.022369742393493652
 7   1.27013483719948  0.007616162300109863   -0.021100640296936035
 8   1.259384227104676  0.017923355102539062   0.03286987543106079
 9   1.2150357908163316  0.0467681884765625   0.03439319133758545
 10   1.222091087164023  0.043512165546417236   0.005531191825866699
 11   1.1997314317104144  0.06442749500274658   0.07018405199050903
 12   1.1793413437329805  0.0773969292640686   0.032434284687042236
 13   1.1332482382273064  0.11414045095443726   0.12348741292953491
 14   1.1089078818376248  0.1334025263786316   0.0994563102722168
 15   1.0693031029823499  0.16207373142242432   0.04033738374710083
 16   1.0486871019387856  0.1801244020462036   0.1959053874015808
 17   1.0066303790379794  0.21301406621932983   0.24240392446517944
 18   1.0038614769776661  0.2166534662246704   0.11944544315338135
 19   0.9599979535127298  0.24925929307937622   0.2736036777496338
 20   0.9275761827444419  0.27348077297210693   0.28364890813827515
 21   0.921448344603563  0.2807057499885559   0.28504204750061035
 22   0.9157091570206177  0.2834862470626831   0.30761247873306274
 23   0.924221457197116  0.27574682235717773   0.2904074788093567
 24   0.8955173339599218  0.30066895484924316   0.24136173725128174
 25   0.8789109052755893  0.3120342493057251   0.3617556095123291
 26   0.8612575416381543  0.3254131078720093   0.34448444843292236
 27   0.8570065807837707  0.32816869020462036   0.3424012064933777
 28   0.8424475005803964  0.34038490056991577   0.3900585174560547
 29   0.8353552321592966  0.3468327522277832   0.32475143671035767
 30   0.8202515106934768  0.35838550329208374   0.31304895877838135
 31   0.8475378163349934  0.33931076526641846   0.20629429817199707
 32   0.8452211859134527  0.3410860300064087   0.32157742977142334
 33   0.8439446632296611  0.34129709005355835   0.325724720954895
 34   0.8416406132089786  0.3452526330947876   0.4058067798614502
 35   0.8272635111441979  0.3541727066040039   0.2613540291786194
 36   0.7963606936809344  0.37914925813674927   0.3962637186050415
 37   0.7933923006057739  0.38294559717178345   0.4088172912597656
 38   0.7905836351788961  0.37939125299453735   0.42708253860473633
 39   0.8072292330937508  0.36674225330352783   0.4244033098220825
 40   0.757341728760646  0.40885859727859497   0.35517746210098267
 41   0.7672503762520276  0.39952248334884644   0.45258772373199463
 42   0.7462314294698911  0.4151739478111267   0.452165424823761
 43   0.7399054429469965  0.4197009205818176   0.43772274255752563
 44   0.7390698022567309  0.4229857921600342   0.43181705474853516
 45   0.7284295140550687  0.4299215078353882   0.43308061361312866
 46   0.7133982869294974  0.4417691230773926   0.4492191672325134
 47   0.7691114181891466  0.3977707028388977   0.4408419132232666
 48   0.7143125858826515  0.44115346670150757   0.3590865731239319
 49   0.7107919664719166  0.44453495740890503   0.4604565501213074
 50   0.700117961718486  0.452459454536438   0.44229257106781006
 51   0.697770112218001  0.45287424325942993   0.41974741220474243
 52   0.6845559091904224  0.4628813862800598   0.42475277185440063
 53   0.6721655275577154  0.4735249876976013   0.45921164751052856
 54   0.6798654093574255  0.46770429611206055   0.4774922728538513
 55   0.6740001317782279  0.47325390577316284   0.4159258008003235
 56   0.6691124206170057  0.47799766063690186   0.4473670721054077
 57   0.6378540392869558  0.5017591118812561   0.4350873827934265
 58   0.6302105054641381  0.5069096088409424   0.4839421510696411
 59   0.6458520954236006  0.4940348267555237   0.42611128091812134
 60   0.6300316013586826  0.5078673362731934   0.4430525302886963
 61   0.6400672546946086  0.5022522211074829   0.4651763439178467
 62   0.6257593448345478  0.5105376243591309   0.4436348080635071
 63   0.6262000042658585  0.5104497075080872   0.4771270155906677
 64   0.640155669588309  0.49877864122390747   0.46853309869766235
 65   0.5931490839291842  0.5364027619361877   0.4904170632362366
 66   0.611992780978863  0.5198976397514343   0.48776036500930786
 67   0.6009322011317962  0.5297929644584656   0.4884774088859558
 68   0.5943754945810025  0.5368165969848633   0.4169226884841919
 69   0.6149988827797083  0.5193257927894592   0.48666685819625854
 70   0.5868997780176309  0.5406551361083984   0.4825480580329895
 71   0.5775451786242999  0.5499067306518555   0.46195411682128906
 72   0.5720231372576493  0.5527160167694092   0.48465973138809204
 73   0.5821033716201782  0.5446516871452332   0.4895365238189697
 74   0.5740128996280524  0.5520268678665161   0.505892276763916
 75   0.564951513822262  0.560470700263977   0.49503833055496216
 76   0.5704472529200407  0.5551886558532715   0.40552598237991333
 77   0.573719573708681  0.5530375242233276   0.4914865493774414
 78   0.5529761344958575  0.5678783655166626   0.4994652271270752
 79   0.6057715924122394  0.5248138904571533   0.476639986038208
 80   0.5701072655427151  0.5539717674255371   0.4935324788093567
 81   0.5614340513562545  0.5610195398330688   0.5064773559570312
 82   0.5536185665390431  0.5680289268493652   0.4985032081604004
 83   0.5838936578768951  0.5448989272117615   0.47403961420059204
 84   0.5573632010282614  0.5633680820465088   0.4696851968765259
 85   0.5542507748573254  0.5650377869606018   0.5080852508544922
 86   0.5481363563583448  0.5705023407936096   0.5059114098548889
 87   0.5518797397231444  0.5670660138130188   0.493232786655426
 88   0.5413215580659035  0.576675295829773   0.4940980076789856
 89   0.5451433929877404  0.5734400749206543   0.5223256349563599
 90   0.5298380880401685  0.5843900442123413   0.5236417055130005
 91   0.5303703840726461  0.5848802328109741   0.5032936930656433
 92   0.5558439693771876  0.5653516054153442   0.42738014459609985
 93   0.5558966358120625  0.5669610500335693   0.44739454984664917
 94   0.5513210105590332  0.5690029859542847   0.48274868726730347
 95   0.5395008487961231  0.579097330570221   0.5052042603492737
 96   0.5354305289876766  0.5799990892410278   0.5000348091125488
 97   0.5525328631584461  0.5683771967887878   0.47871941328048706
 98   0.521403544033185  0.5927934646606445   0.48589396476745605
 99   0.5194243733317424  0.5925302505493164   0.5087347030639648
 100   0.5171495011219611  0.5947206616401672   0.4881895184516907
 101   0.5254769076903661  0.5900553464889526   0.49214810132980347
 102   0.5248380796267436  0.5889456272125244   0.5137856006622314
 103   0.537937003832597  0.5810650587081909   0.5169416666030884
 104   0.5163863482765663  0.5950357913970947   0.49929291009902954
 105   0.521075177173584  0.5927852988243103   0.47885578870773315
 106   0.5331313705597168  0.5846154689788818   0.4393502473831177
 107   0.5293722422077105  0.5860719680786133   0.4675719141960144
 108   0.49956603481983525  0.608065128326416   0.49963927268981934
 109   0.5222354682210164  0.5927585363388062   0.5035187005996704
 110   0.5066643932308906  0.603585958480835   0.48966866731643677
 111   0.5169313030365186  0.5973306894302368   0.47493553161621094
 112   0.4924557123046655  0.6145658493041992   0.47186005115509033
 113   0.5013305686223202  0.6081219911575317   0.49259263277053833
 114   0.503840154944322  0.6064430475234985   0.49137675762176514
 115   0.5095024959017069  0.6004570126533508   0.5188992023468018
 116   0.4927263504419571  0.6140431761741638   0.46016842126846313
 117   0.4927102212722485  0.6136866807937622   0.49622076749801636
 118   0.4892664844026932  0.6165743470191956   0.4858506917953491
 119   0.5001181799631852  0.6118336915969849   0.48159921169281006
 120   0.5052833236180819  0.6049584746360779   0.4947255849838257
 121   0.4876968388756116  0.6203413009643555   0.4558195471763611
 122   0.5048948001020994  0.6049123406410217   0.4616578221321106
 123   0.487060502744638  0.6192501783370972   0.4995993375778198
 124   0.4694576613031901  0.6333538889884949   0.4801105856895447
 125   0.5258171331041899  0.5891037583351135   0.4301304221153259
 126   0.5159076102651082  0.5952110290527344   0.49363505840301514
 127   0.49071456969548494  0.617767333984375   0.49904078245162964
 128   0.4826287762858929  0.6215819716453552   0.46640080213546753
 129   0.4667298809075967  0.6341472864151001   0.5091822743415833
 130   0.4768664768108955  0.6274799108505249   0.5006282329559326
 131   0.4784529665723825  0.6261416673660278   0.5039711594581604
 132   0.4842692670913843  0.620529294013977   0.4671880006790161
 133   0.48260471606865907  0.622788667678833   0.48544174432754517
 134   0.4660121406882237  0.6354247331619263   0.49581921100616455
 135   0.4567576201680379  0.6435826420783997   0.47754353284835815
 136   0.46749670459673953  0.6350533962249756   0.4821723699569702
 137   0.47551216433445614  0.628348708152771   0.49310725927352905
 138   0.46018915050304854  0.6394202709197998   0.5038918256759644
 139   0.46582406549117505  0.6354435682296753   0.4855518937110901
 140   0.45444912157761747  0.6437960863113403   0.49963605403900146
 141   0.45398588956166536  0.6437839865684509   0.47205954790115356
 142   0.4634286396396466  0.6381219625473022   0.4614456295967102
 143   0.45173144130370557  0.6464450359344482   0.49062877893447876
 144   0.4698808472125958  0.6314890384674072   0.5153411626815796
 145   0.4713266272193346  0.6330219507217407   0.48691266775131226
 146   0.45604009047532695  0.6427277326583862   0.48285388946533203
 147   0.4546225493152936  0.6466909050941467   0.47705578804016113
 148   0.4387448745278212  0.6579928398132324   0.49232250452041626
 149   0.4405750139401509  0.654887855052948   0.4908871650695801
 150   0.4527061220545035  0.6466220021247864   0.48738932609558105
 151   0.44608784104004884  0.6508273482322693   0.49130094051361084
 152   0.4423286655010321  0.6543781757354736   0.48336726427078247
 153   0.443686516621174  0.652803897857666   0.48019301891326904
 154   0.45680043960993105  0.6417839527130127   0.48740100860595703
 155   0.4457057271248255  0.6506345868110657   0.5028080940246582
 156   0.441525983886841  0.6544539928436279   0.5035767555236816
 157   0.4227031347079155  0.668796718120575   0.5056139826774597
 158   0.4358184647101622  0.6603348255157471   0.4785694479942322
 159   0.42689444315739167  0.6672725677490234   0.4978461265563965
 160   0.4489650581127558  0.6495444774627686   0.47390204668045044
 161   0.43610169222721684  0.6584740877151489   0.5038139820098877
 162   0.4342188090085983  0.659860372543335   0.4657818675041199
 163   0.43965761554546845  0.6556310653686523   0.484178364276886
 164   0.4253660480563457  0.6677008271217346   0.47040367126464844
 165   0.4348390553242121  0.6595884561538696   0.5021175146102905
 166   0.4306262985636026  0.6626271605491638   0.4788395166397095
 167   0.4324914981157352  0.6624126434326172   0.4951629638671875
 168   0.428064590654312  0.6655449867248535   0.4911732077598572
 169   0.45055753795000225  0.6466577649116516   0.4808906316757202
 170   0.42626258157766783  0.6664685010910034   0.4663538336753845
 171   0.42798911531766254  0.6664460301399231   0.4997748136520386
 172   0.44202881841323316  0.6539345979690552   0.4972507953643799
 173   0.422372036255323  0.669614851474762   0.48509693145751953
 174   0.4213246368826964  0.6700905561447144   0.49443870782852173
 175   0.41279028833676606  0.6788654327392578   0.4924759864807129
 176   0.4151332919032146  0.675788164138794   0.500603437423706
 177   0.4233847944400249  0.6688794493675232   0.480069637298584
 178   0.4305869052425409  0.6621743440628052   0.492789626121521
 179   0.41358399181029737  0.678359866142273   0.4929012656211853
 180   0.403484939955748  0.6854708790779114   0.490695059299469
 181   0.4191798873436757  0.6725919246673584   0.44411295652389526
 182   0.4314024066313719  0.6634128093719482   0.47207027673721313
 183   0.4175144290694824  0.6732075214385986   0.4770581126213074
 184   0.4074990206804031  0.6820066571235657   0.4951198697090149
 185   0.4158929542471201  0.6741170883178711   0.48362767696380615
 186   0.40346394574795014  0.6859477758407593   0.47850996255874634
 187   0.40027224788298976  0.6867268681526184   0.4941452145576477
 188   0.40602042430486435  0.6825376749038696   0.4364173412322998
 189   0.4088536271682152  0.6793547868728638   0.4824463725090027
 190   0.4093573544269953  0.679308295249939   0.4365624785423279
 191   0.41488448893412566  0.6757141351699829   0.40806812047958374
 192   0.4168124766303943  0.6754484176635742   0.4663920998573303
 193   0.4095087366608473  0.6800702810287476   0.5162405967712402
 194   0.4111889421175688  0.6797820329666138   0.47015440464019775
 195   0.39328605586137527  0.6925925016403198   0.4764738082885742
 196   0.3941386456672962  0.6911091208457947   0.47828757762908936
 197   0.4005002793975366  0.6868343353271484   0.48431330919265747
 198   0.39103002846241  0.693801760673523   0.4670424461364746
 199   0.395353132715592  0.6902998685836792   0.4669508934020996
